ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Artificial Intelligence,,AIFND
2,Generative AI,1,AIFND
3,Large Language Models,2,AIFND
4,Language Model Tokens,3,AIFND
5,Model Context Window,3|4,AIFND
6,Model Instructions,3,AIFND
7,Model Responses,3|6,AIFND
8,Probabilistic Output,3|7,AIFND
9,Synthetic Users,1|7,AIFND
10,Synthetic Personas,9,AIFND
11,AI Persona Testing,9|10,AIFND
12,Synthetic User Research,10|11,AIFND
13,Customer Simulation,9|11,AIFND
14,Agent-Based Simulation,1|13,AIFND
15,AI Focus Groups,11|14,AIFND
16,Brand Stress Testing,11|13,AIFND
17,Customer Research,,AIFND
18,Market Research,17,AIFND
19,Qualitative Research,17,AIFND
20,Quantitative Research,17|19,AIFND
21,Traditional Focus Groups,17|18,RSRCH
22,Customer Interviews,18|20,RSRCH
23,Customer Surveys,18|19,RSRCH
24,Research Sample Size,17|18,RSRCH
25,Research Turnaround Time,17|18|21,RSRCH
26,Research Cost,18|20,RSRCH
27,Iterative Research,18|24,RSRCH
28,Exploratory Research,18|19,RSRCH
29,Evaluative Research,18|21,RSRCH
30,Research Questions,17|18|21,RSRCH
31,Research Objectives,18|19,RSRCH
32,Research Scope,18|20,RSRCH
33,Research Assumptions,18|21,RSRCH
34,Research Constraints,18|24,RSRCH
35,Research Validity,18|24|30,RSRCH
36,Research Reliability,17|18,RSRCH
37,Repeatable Evaluation,18|19,RSRCH
38,Reproducible Results,18|20,RSRCH
39,Directional Insight,18|21,RSRCH
40,Customer Evidence,18|24|30,RSRCH
41,AI Capabilities,1|3,RSRCH
42,AI Limitations,41,RSRCH
43,Simulation Fidelity,13|42,RSRCH
44,Persona Realism,8|41,RSRCH
45,Response Variability,1|11|41,RSRCH
46,Model Hallucination,38|41,RSRCH
47,Hallucination Detection,35|41,RSRCH
48,Model Bias,3|42,RSRCH
49,Automation Bias,11|36|41,RSRCH
50,Confirmation Bias,1|11|29|41,RSRCH
51,Selection Bias,22|34|35|41|46,RSRCH
52,Cultural Bias,3|27|39|41,RSRCH
53,Stereotype Risk,32|41|43|44,RSRCH
54,False Confidence,17|25|37|41,RSRCH
55,Feedback Credibility,35|42,RSRCH
56,Human Judgment,17|23|47|55,RSRCH
57,Human Oversight,28|40|41|48,RSRCH
58,Responsible AI,1|33|42|45|56,RSRCH
59,Ethical AI Use,26|38|41,RSRCH
60,Research Transparency,1|31|35|41,RSRCH
61,Informed Consent,58|60,ETHIC
62,Customer Privacy,17|61,ETHIC
63,Personal Data,35|61,ETHIC
64,Sensitive Attributes,61|62,ETHIC
65,Data Minimization,58|61|62,ETHIC
66,Persona Disclosure,48|61,ETHIC
67,Synthetic Data,61|65,ETHIC
68,Real Customer Validation,17|43|56,ETHIC
69,Evidence Triangulation,61|68,ETHIC
70,Claim Verification,58|61|68,ETHIC
71,Uncertainty Disclosure,55|61,ETHIC
72,Confidence Calibration,17|61|63,ETHIC
73,Ethical Guardrails,35|61,ETHIC
74,Fairness Review,60|61,ETHIC
75,Harm Assessment,61|66|70|73,ETHIC
76,Misuse Prevention,61|68,ETHIC
77,Research Governance,58|64|73|74,ETHIC
78,Audit Trail,61|72,ETHIC
79,Decision Accountability,48|61,ETHIC
80,Ethical Escalation,61|65|67,ETHIC
81,Customer Persona,10|17,PERDS
82,Persona Purpose,81,PERDS
83,Persona Template,81|82,PERDS
84,Persona Profile,9|81,PERDS
85,Persona Identity,9|81,PERDS
86,Persona Background,9|81,PERDS
87,Persona Narrative,10|81,PERDS
88,Persona Context,9|81,PERDS
89,Persona Demographics,81|83,PERDS
90,Persona Psychographics,81|83,PERDS
